Resume,Price,Location,Bedrooms,Bathrooms,Area,Link,Contact,Listing Time
Full Palm View | Direct Beach Access | Brand New,"330,000 AED/year","Grand Bleu Tower 1, EMAAR Beachfront, Dubai Harbour, Dubai",2,3,"1,571 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-harbour-emaar-beachfront-grand-bleu-tower-1-13102585.html,tel:+971565070389,Listed 2 months ago
Available 26th Feb | Fully Furnished | Sea View,"155,000 AED/year","Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai",1,1,730 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-harbour-emaar-beachfront-marina-vista-13134896.html,tel:+97144090911,Listed 2 months ago
Fully Furnished | Vacant | Kitchen Appliances,"55,000 AED/year","Diamond Views 2, Diamond Views, Jumeirah Village Circle, Dubai",studio,1,432 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-diamond-views-diamond-views-2-13516440.html,tel:+971565226771,Listed 10 days ago
Newly Built | Stylish Design | Great Deal,"100,000 AED/year","Belgravia Heights 2, Jumeirah Village Circle, Dubai",1,2,805 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-belgravia-heights-2-13487660.html,tel:+971506103085,Listed 14 days ago
Stylishly Furnished Modern Unit | Partial Sea View,"195,000 AED/year","Al Fattan Marine Tower, Al Fattan Marine Towers, Jumeirah Beach Residence, Dubai",2,3,"1,647 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-al-fattan-marine-towers-al-fattan-marine-tower-13507934.html,tel:+971565209921,Listed 11 days ago
Spacious Layout with 2 Balconies | On Low Floor,"90,000 AED/year","Hayat Boulevard-1A, Hayat Boulevard, Town Square, Dubai",2,2,974 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-town-square-hayat-boulevard-hayat-boulevard-1a-13465736.html,tel:+971565220164,Listed 16 days ago
Spacious Layout with 2 Balconies | On Low Floor,"90,000 AED/year","Hayat Boulevard-1A, Hayat Boulevard, Town Square, Dubai",2,2,974 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-town-square-hayat-boulevard-hayat-boulevard-1a-13465736.html,tel:+971565220164,Listed 16 days ago
Hight floor | City view | Furnished | Vacant,"60,000 AED/year","Golf Vita A, Golf Vita, DAMAC Hills, Dubai",1,1,438 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-damac-hills-golf-vita-golf-vita-a-13598103.html,tel:+971502633241,Listed 23 hours ago
"Space and style, the perfect blend of comfort,","255,000 AED/year","Central Park Building 1, Central Park at City Walk, City Walk, Dubai",2,3,"1,466 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-city-walk-central-park-at-city-walk-central-park-building-1-13205956.html,tel:+97142489658,Listed 1 month ago
HOT DEAL |Type A-2BR Apt w/Pool view | VACANT,"75,000 AED/year","Tower 11, Al Reef Downtown, Al Reef, Abu Dhabi",2,2,"1,582 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-al-reef-al-reef-downtown-tower-11-13444178.html,tel:+971529363600,Listed 18 days ago
Luxurious | High Floor | Ready to move,"127,000 AED/year","1 Residences, Al Kifaf, Bur Dubai, Dubai",1,2,898 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-bur-dubai-1-residences-13566950.html,tel:+971565206748,Listed 4 days ago
The Luxe Retreat: A 5Bedroom Dream Villa with Maid,"650,000 AED/year","Nad Al Sheba Gardens, Nad Al Sheba 1, Nad Al Sheba, Dubai",5,7,"12,529 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-nad-al-sheba-nad-al-sheba-1-nad-al-sheba-gardens-13465178.html,tel:+971563297879,Listed 16 days ago
Brand New 3 Beds + M Ready Now| Spacious,"160,000 AED/year","Ruba, Arabian Ranches 3, Dubai",3,3,"2,031 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-arabian-ranches-3-ruba-13200025.html,tel:+971507998491,Listed 1 month ago
Fully Furnished | Ready to Move in | Inquire Now,"95,000 AED/year","Zahra Apartments 2B, Zahra Apartments, Town Square, Dubai",2,2,883 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-town-square-zahra-apartments-zahra-apartments-2b-13547213.html,tel:+971565064457,Listed 7 days ago
Spacious Layout| Mid Floor| Vacant| Prime Location,"80,000 AED/year","Ubora Tower 1, Ubora Towers, Business Bay, Dubai",1,2,695 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-business-bay-ubora-towers-ubora-tower-1-13325178.html,tel:+971562422023,Listed 1 month ago
Custom Built |Fully Furnished|Marina Skyline View,"1,250,000 AED/year","Legacy, Jumeirah Park, Dubai",6,7,"8,073 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-jumeirah-park-legacy-13530059.html,tel:+971565110647,Listed 8 days ago
⚡ Genuine Price | Double Row | Exclusive Unit ⚡,"390,000 AED/year","The Dunes, Saadiyat Reserve, Saadiyat Island, Abu Dhabi",4,6,"7,380 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-saadiyat-island-saadiyat-reserve-the-dunes-13521695.html,tel:+971545841654,Listed 9 days ago
Brand New | Ready to Move-In | Prime Location,"220,000 AED/year","Murooj Al Furjan West, Al Furjan, Dubai",3,3,"2,787 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-al-furjan-murooj-al-furjan-west-13540299.html,tel:+971565064587,Listed 7 days ago
Extended | Amazing Lake views | Upgraded,"890,000 AED/year","Cluster 43, Jumeirah Islands, Dubai",4,5,"10,651 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-jumeirah-islands-cluster-43-12559383.html,tel:+971585217799,Listed 4 months ago
Vacant Now | Spacious | Type 2,"420,000 AED/year","Rasha, Arabian Ranches 2, Dubai",4,4,"7,211 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-arabian-ranches-2-rasha-13538837.html,tel:+971565152548,Listed 8 days ago
Stunning Views | Exclusive 2-Bedroom Apartment,"142,000 AED/year","Etihad Tower 4, Etihad Towers, Corniche Road, Abu Dhabi",2,3,"1,367 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-corniche-road-etihad-towers-etihad-tower-4-13505045.html,tel:+971565057833,Listed 11 days ago
Hotel Apt | Beach and Pool View | Free Utilities,"78,000 AED/year","Al Hamra Palace Beach Resort, Al Hamra Village, Ras Al Khaimah",1,2,830 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ras-al-khaimah-al-hamra-village-al-hamra-palace-beach-resort-13450067.html,tel:+971565152519,Listed 17 days ago
Type-A Villa | Ready to Move | Landscaped Garden,"155,000 AED/year","Mira Oasis 3, Mira Oasis, Reem, Dubai",3,4,"3,222 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-reem-mira-oasis-mira-oasis-3-13218964.html,tel:+971501269138,Listed 1 month ago
Luxurious 3BR| Single Row Unit | Modern Lifestyle,"165,000 AED/year","Noya Viva, Noya, Yas Island, Abu Dhabi",3,4,"2,186 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-abu-dhabi-yas-island-noya-noya-viva-13503593.html,tel:+971565220535,Listed 11 days ago
CORNER UNIT/BIGGEST PLOT/LANDSCAPED,"240,000 AED/year","Naseem Townhouses, Town Square, Dubai",4,4,"2,449 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-town-square-naseem-townhouses-13575805.html,tel:+971566036953,Listed 3 days ago
Ready To Move-In | Terrace |  Modern Kitchen,"320,000 AED/year","Legacy, Jumeirah Park, Dubai",3,3,"7,319 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-jumeirah-park-legacy-13478397.html,tel:+971565064587,Listed 15 days ago
Private Pool | Maids/Study | Pool View,"155,000 AED/year","Oxford Terraces, District 11, Jumeirah Village Circle, Dubai",2,3,"1,506 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-district-11-oxford-terraces-13422083.html,tel:+971585984726,Listed 22 days ago
Private Garden | Fully Furnished | Prime Location,"130,000 AED/year","Reehan 4, Reehan, Old Town, Dubai",1,2,974 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-old-town-reehan-reehan-4-13305411.html,tel:+971523992781,Listed 1 month ago
Legacy | Pool | Available Now | Landscaped Garden,"430,000 AED/year","Legacy, Jumeirah Park, Dubai",4,5,"8,590 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-jumeirah-park-legacy-13413508.html,tel:+971565058806,Listed 22 days ago
Your villa in Al-Yasmeen Ajman at a ،special price,"94,999 AED/year","Al Yasmeen 1, Al Yasmeen, Ajman",4,6,"3,014 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-ajman-al-yasmeen-al-yasmeen-1-13500962.html,tel:+971501372245,Listed 12 days ago
One bed room with hall in shakhbout city,"38,000 AED/year","Shakhbout City, Abu Dhabi",1,1,"1,300 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-shakhbout-city-13550150.html,tel:+971565348321,Listed 6 days ago
Chiller Free | Ready To Move | Premium Amenities,"215,000 AED/year","Park Heights 2, Park Heights, Dubai Hills Estate, Dubai",3,4,"1,611 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-hills-estate-park-heights-park-heights-2-13354972.html,tel:+971505745227,Listed 1 month ago
SPACIOUS 1BHK ONE MONTH FREE DXB SHJ BORDER,"31,999 AED/year","Al Nahda Complex, Al Nahda, Sharjah",1,1,928 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-nahda-al-nahda-complex-13483927.html,tel:+971569964963,Listed 14 days ago
VACANT |2 BEDROOMS SM FAMILY VILLA | READY TO MOVE,"90,000 AED/year","Arabian Style, Al Reef Villas, Al Reef, Abu Dhabi",2,3,"1,832 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-al-reef-al-reef-villas-arabian-style-13605737.html,tel:+971529363600,Listed 50 minutes ago
Fully Furnished |Canal Facing | Inquire Now,"48,000 AED/year","Giovanni Boutique Suites, Dubai Sports City, Dubai",studio,1,454 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-sports-city-giovanni-boutique-suites-13064637.html,tel:+971565064457,Listed 2 months ago
Prime Location|Family Sunfilled Apartment|Sea View,"59,999 AED/year","Al Majaz 3, Al Majaz, Sharjah",3,3,"2,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-majaz-al-majaz-3-13600927.html,tel:+971565098310,Listed 15 hours ago
Villa For Rent | 4BHK | Beach Cmty | Call Now |RAK,"129,999 AED/year","Malibu, Mina Al Arab, Ras Al Khaimah",4,5,"3,250 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-ras-al-khaimah-mina-al-arab-malibu-13568207.html,tel:+971565152599,Listed 3 days ago
Fully Furnished | Brand New | High Floor,"48,000 AED/year","Wavez Residence, Liwan, Dubai Land, Dubai",studio,1,404 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-land-liwan-wavez-residence-13495900.html,tel:+971565220319,Listed 13 days ago
Rented - Speak to your community expert today.,"100,000 AED/year","Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour (The Lagoons), Dubai",1,1,751 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-creek-horizon-creek-horizon-tower-2-13124231.html,tel:+971523992781,Listed 2 months ago
3 BEDROOM VILLA FOR RENT IN SHARJAH,"110,000 AED/year","Sharjah Sustainable City, Sharjah",3,4,"2,300 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-sharjah-sharjah-sustainable-city-13132715.html,tel:+971506447409,Listed 2 months ago
Studio Apartment | Unfurnished | Prime location,"50,000 AED/year","Serenity Lakes 5, Jumeirah Village Circle, Dubai",studio,1,401 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-serenity-lakes-5-13513092.html,tel:+971565036219,Listed 10 days ago
Brand new | Luxury Furnished | High floor,"65,000 AED/year","Gemz by Danube, Al Furjan, Dubai",studio,1,417 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-furjan-gemz-by-danube-13509812.html,tel:+971506391205,Listed 11 days ago
Best Price | 3 Bedroom with Maids | Low Floor,"177,000 AED/year","D1 Tower, Culture Village, Dubai",3,4,"1,743 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-culture-village-d1-tower-13480188.html,tel:+971504316384,Listed 15 days ago
VERY CLOSE TO DXB BUS STOP F22 F24 1BHK 31K 32K,"30,985 AED/year","Al Nahda Residential Complex, Al Nahda, Sharjah",1,1,865 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-nahda-al-nahda-residential-complex-13347548.html,tel:+971565206962,Listed 1 month ago
Opposite park n pool backing green belt,"372,000 AED/year","Aura, Tilal Al Ghaf, Dubai",4,5,"2,529 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-tilal-al-ghaf-aura-13431826.html,tel:+97144395046,Listed 20 days ago
3BR Chiller Free | Spacious | Sharjah-Dubai Border,"70,000 AED/year","Al Bandary Tower A, Al Bandary Twin Towers, Al Khan, Sharjah",3,3,"3,050 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-khan-al-bandary-twin-towers-al-bandary-tower-a-12818094.html,tel:+971506021423,Listed 3 months ago
Unfurnished | Vacant | Prime Location,"145,000 AED/year","AZIZI Riviera 6, Meydan One, Meydan, Dubai",2,2,"1,278 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-meydan-meydan-one-azizi-riviera-6-13415372.html,tel:+971569962775,Listed 22 days ago
Prime Location | Spacious | Luxurious | Modern,"465,000 AED/year","Harmony 2, Harmony, Tilal Al Ghaf, Dubai",4,7,"4,854 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-tilal-al-ghaf-harmony-harmony-2-13445769.html,tel:+971565075851,Listed 18 days ago
2BR in Expo roundabout | Dubai Border | Al Taawun,"30,000 AED/year","Ewan 4, Al Taawun, Sharjah",2,1,900 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-taawun-ewan-4-13394282.html,tel:+971503151930,Listed 25 days ago
Available 1Bed | Chiller Free | Appliances Incl.,"95,000 AED/year","Burj Al Salam, Sheikh Zayed Road, Dubai",1,2,774 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-sheikh-zayed-road-burj-al-salam-13561389.html,tel:+971565063502,Listed 4 days ago
Creek and Burj Khalifa view | Fully furnished,"153,000 AED/year","17 Icon Bay, Dubai Creek Harbour (The Lagoons), Dubai",2,2,"1,131 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-17-icon-bay-13502886.html,tel:+971562639231,Listed 11 days ago
All included | No Commission | Amazing Sea View,"250,000 AED/year","Royal Amwaj Residence South, The Royal Amwaj, Palm Jumeirah, Dubai",1,2,"1,164 sqft",https://www.propertyfinder.ae/en/plp/rent/hotel-hotel-apartment-for-rent-dubai-palm-jumeirah-the-royal-amwaj-royal-amwaj-residence-south-13521682.html,tel:+971567800015,Listed 9 days ago
Well natural light lKitchen Appliances |Open view,"46,990 AED/year","Souks Residential, Al Mamsha, Muwaileh, Sharjah",1,1,690 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-muwaileh-al-mamsha-souks-residential-13363761.html,tel:+971506193966,Listed 29 days ago
Stand Alone Villa | Private Pool | Move In Ready,"240,000 AED/year","Golf Gardens, Khalifa City, Abu Dhabi",4,5,"3,584 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-abu-dhabi-khalifa-city-golf-gardens-13434600.html,tel:+971501301741,Listed 20 days ago
Brand New | Full Sea View | Maids Room| Balcony,"210,000 AED/year","Qaryat Al Hidd, Saadiyat Island, Abu Dhabi",2,3,"1,453 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-saadiyat-island-qaryat-al-hidd-13506952.html,tel:+971565265989,Listed 11 days ago
Sharjah-Dubai Border | 3BR Chiller Free | Spacious,"70,000 AED/year","Al Bandary Tower B, Al Bandary Twin Towers, Al Khan, Sharjah",3,3,"3,050 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-khan-al-bandary-twin-towers-al-bandary-tower-b-12818095.html,tel:+971503151930,Listed 3 months ago
Chiller Free - Well Maintained - Facilities Included,"32,000 AED/year","Pacific Bora Bora, Pacific, Al Marjan Island, Ras Al Khaimah",studio,1,445 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ras-al-khaimah-al-marjan-island-pacific-pacific-bora-bora-13476079.html,tel:+971505961022,Listed 15 days ago
Chiller Free |  Sea View  |  Vacant | Exclusive,"109,999 AED/year","Damac Heights, Dubai Marina, Dubai",1,2,848 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-damac-heights-13519860.html,tel:+97144395191,Listed 10 days ago
Lavish 1 bhk |With Split  AC |family building |,"27,000 AED/year","Fire Station Road, Muwaileh, Sharjah",1,1,850 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-muwaileh-fire-station-road-13600294.html,tel:+971565202816,Listed 20 hours ago
Brand New | On The Lagoons | Vacant,"350,000 AED/year","Sunset at Creek Beach, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai",4,5,"2,714 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-creek-beach-sunset-at-creek-beach-13250792.html,tel:+971565049804,Listed 1 month ago
Vacant | Spacious 2 beds with 2 balconies,"140,000 AED/year","Ansam 1, Ansam, Yas Island, Abu Dhabi",2,2,"1,276 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-abu-dhabi-yas-island-ansam-ansam-1-13561701.html,tel:+971564037025,Listed 4 days ago
2BHK|Corniche View|Master bedroom|parking free,"51,999 AED/year","Al Khan Corniche, Al Khan, Sharjah",2,2,"1,410 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-khan-al-khan-corniche-13430054.html,tel:+971543095812,Listed 21 days ago
Vacant | High Floor | Spacious | Fully Furnished,"145,000 AED/year","BLOOM TOWERS A, Bloom Towers, Jumeirah Village Circle, Dubai",2,2,"1,137 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-circle-bloom-towers-bloom-towers-a-13565176.html,tel:+971506119734,Listed 4 days ago
Vacant | Unfurnished | Hotel Amenities | Stylish,"155,000 AED/year","Jumeirah Living, World Trade Centre Residence, World Trade Center, Dubai",2,2,"1,249 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-world-trade-center-world-trade-centre-residence-jumeirah-living-13419174.html,tel:+971558367283,Listed 22 days ago
Large corner plot | J type | 3 bedroom,"195,000 AED/year","Mira Oasis 1, Mira Oasis, Reem, Dubai",3,3,"3,664 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-reem-mira-oasis-mira-oasis-1-13525289.html,tel:+971506047936,Listed 9 days ago
EXCLUSIVE | AVAILABLE NOW | READY FOR VIEWING,"45,000 AED/year","Elite Sports Residence 10, Elite Sports Residence, Dubai Sports City, Dubai",studio,1,391 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-sports-city-elite-sports-residence-elite-sports-residence-10-13535404.html,tel:+971552348869,Listed 8 days ago
Unfurnished | 2 Bed | Vacant | Upgraded,"190,000 AED/year","The Residences 2, The Residences, Downtown Dubai, Dubai",2,3,"1,431 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-residences-the-residences-2-12924822.html,tel:+971585218166,Listed 2 months ago
3BR Duplex | Breathtaking View | Vacant,"345,000 AED/year","Jumeirah Living, World Trade Centre Residence, World Trade Center, Dubai",3,4,"2,465 sqft",https://www.propertyfinder.ae/en/plp/rent/duplex-for-rent-dubai-world-trade-center-world-trade-centre-residence-jumeirah-living-13219513.html,tel:+971543068025,Listed 1 month ago
*NEW* Immaculate 1br Furnished apartment Pacific,"55,995 AED/year","Pacific Tahiti, Pacific, Al Marjan Island, Ras Al Khaimah",1,2,772 sqft,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-ras-al-khaimah-al-marjan-island-pacific-pacific-tahiti-13452114.html,tel:+971565157730,Listed 17 days ago
Vacant | Great Location | Close to Pool,"175,000 AED/year","Ruba, Arabian Ranches 3, Dubai",3,3,"1,561 sqft",https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-arabian-ranches-3-ruba-13529983.html,tel:+97144090915,Listed 8 days ago
Vacant | Single Row | Exclusive | Ready,"300,000 AED/year","Maple 2, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",4,4,"2,406 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-hills-estate-maple-at-dubai-hills-estate-maple-2-13210511.html,tel:+971565224877,Listed 1 month ago
Private Pool I Vacant Now I Massive Plot,"525,000 AED/year","Legacy, Jumeirah Park, Dubai",5,5,"8,978 sqft",https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-jumeirah-park-legacy-13451821.html,tel:+97148372743,Listed 17 days ago
Brand New 3Bedroom | Furnished | Expo Village,"135,000 AED/year","Expo Village Residences 2A, Expo Village Residences, Expo City, Dubai",3,2,"1,500 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-expo-city-expo-village-residences-2a-13488492.html,tel:+971564087517,Listed 14 days ago
"2BR | Best Location next to Dubai border, AlTaawun","40,000 AED/year","EWAN 2, Al Taawun Street, Al Taawun, Sharjah",2,2,"1,000 sqft",https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-sharjah-al-taawun-al-taawun-street-ewan-2-12932281.html,tel:+971506138699,Listed 2 months ago
