classificacao_risco;perdas_normalizadas;fabricante;tipo_combustivel;aspiracao;num_portas;tipo_carroceria;tracao;localizacao_motor;distancia_eixos;comprimento;largura;altura;peso;tipo_motor;num_cilindros;tamanho_motor;sistema_combustivel;diametro_cilindro;curso_pistao;taxa_compressao;potencia;rpm_maximo;consumo_cidade;consumo_estrada;preco
0;188;bmw;gasolina;padrao;quatro;sedan;traseira;frontal;101.2;176.8;64.8;54.3;2765;ohc;seis;164;mpfi;3.31;3.19;9.0;121;4250;21;28;21105
1;?;bmw;gasolina;padrao;quatro;sedan;traseira;frontal;103.5;189.0;66.9;55.7;3055;ohc;seis;164;mpfi;3.31;3.19;9.0;121;4250;20;25;24565
0;?;bmw;gasolina;padrao;quatro;sedan;traseira;frontal;103.5;189.0;66.9;55.7;3230;ohc;seis;209;mpfi;3.62;3.39;8.0;182;5400;16;22;30760
0;?;bmw;gasolina;padrao;duas;sedan;traseira;frontal;103.5;193.8;67.9;53.7;3380;ohc;seis;209;mpfi;3.62;3.39;8.0;182;5400;16;22;41315
0;?;bmw;gasolina;padrao;quatro;sedan;traseira;frontal;110.0;197.0;70.9;56.3;3505;ohc;seis;209;mpfi;3.62;3.39;8.0;182;5400;15;20;36880
2;121;chevrolet;gasolina;padrao;duas;hatchback;dianteira;frontal;88.4;141.1;60.3;53.2;1488;l;tres;61;2bbl;2.91;3.03;9.5;48;5100;47;53;5151
1;98;chevrolet;gasolina;padrao;duas;hatchback;dianteira;frontal;94.5;155.9;63.6;52.0;1874;ohc;quatro;90;2bbl;3.03;3.11;9.6;70;5400;38;43;6295
0;81;chevrolet;gasolina;padrao;quatro;sedan;dianteira;frontal;94.5;158.8;63.6;52.0;1909;ohc;quatro;90;2bbl;3.03;3.11;9.6;70;5400;38;43;6575
1;118;dodge;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;157.3;63.8;50.8;1876;ohc;quatro;90;2bbl;2.97;3.23;9.41;68;5500;37;41;5572
1;118;dodge;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;157.3;63.8;50.8;1876;ohc;quatro;90;2bbl;2.97;3.23;9.4;68;5500;31;38;6377
1;118;dodge;gasolina;turbo;duas;hatchback;dianteira;frontal;93.7;157.3;63.8;50.8;2128;ohc;quatro;98;mpfi;3.03;3.39;7.6;102;5500;24;30;7957
1;148;dodge;gasolina;padrao;quatro;hatchback;dianteira;frontal;93.7;157.3;63.8;50.6;1967;ohc;quatro;90;2bbl;2.97;3.23;9.4;68;5500;31;38;6229
1;148;dodge;gasolina;padrao;quatro;sedan;dianteira;frontal;93.7;157.3;63.8;50.6;1989;ohc;quatro;90;2bbl;2.97;3.23;9.4;68;5500;31;38;6692
1;148;dodge;gasolina;padrao;quatro;sedan;dianteira;frontal;93.7;157.3;63.8;50.6;1989;ohc;quatro;90;2bbl;2.97;3.23;9.4;68;5500;31;38;7609
1;148;dodge;gasolina;turbo;?;sedan;dianteira;frontal;93.7;157.3;63.8;50.6;2191;ohc;quatro;98;mpfi;3.03;3.39;7.6;102;5500;24;30;8558
-1;110;dodge;gasolina;padrao;quatro;perua;dianteira;frontal;103.3;174.6;64.6;59.8;2535;ohc;quatro;122;2bbl;3.34;3.46;8.5;88;5000;24;30;8921
3;145;dodge;gasolina;turbo;duas;hatchback;dianteira;frontal;95.9;173.2;66.3;50.2;2811;ohc;quatro;156;mfi;3.60;3.90;7.0;145;5000;19;24;12964
2;137;honda;gasolina;padrao;duas;hatchback;dianteira;frontal;86.6;144.6;63.9;50.8;1713;ohc;quatro;92;1bbl;2.91;3.41;9.6;58;4800;49;54;6479
2;137;honda;gasolina;padrao;duas;hatchback;dianteira;frontal;86.6;144.6;63.9;50.8;1819;ohc;quatro;92;1bbl;2.91;3.41;9.2;76;6000;31;38;6855
1;101;honda;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;150.0;64.0;52.6;1837;ohc;quatro;79;1bbl;2.91;3.07;10.1;60;5500;38;42;5399
1;101;honda;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;150.0;64.0;52.6;1940;ohc;quatro;92;1bbl;2.91;3.41;9.2;76;6000;30;34;6529
1;101;honda;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;150.0;64.0;52.6;1956;ohc;quatro;92;1bbl;2.91;3.41;9.2;76;6000;30;34;7129
0;110;honda;gasolina;padrao;quatro;sedan;dianteira;frontal;96.5;163.4;64.0;54.5;2010;ohc;quatro;92;1bbl;2.91;3.41;9.2;76;6000;30;34;7295
0;78;honda;gasolina;padrao;quatro;perua;dianteira;frontal;96.5;157.1;63.9;58.3;2024;ohc;quatro;92;1bbl;2.92;3.41;9.2;76;6000;30;34;7295
0;106;honda;gasolina;padrao;duas;hatchback;dianteira;frontal;96.5;167.5;65.2;53.3;2236;ohc;quatro;110;1bbl;3.15;3.58;9.0;86;5800;27;33;7895
0;106;honda;gasolina;padrao;duas;hatchback;dianteira;frontal;96.5;167.5;65.2;53.3;2289;ohc;quatro;110;1bbl;3.15;3.58;9.0;86;5800;27;33;9095
0;85;honda;gasolina;padrao;quatro;sedan;dianteira;frontal;96.5;175.4;65.2;54.1;2304;ohc;quatro;110;1bbl;3.15;3.58;9.0;86;5800;27;33;8845
0;85;honda;gasolina;padrao;quatro;sedan;dianteira;frontal;96.5;175.4;62.5;54.1;2372;ohc;quatro;110;1bbl;3.15;3.58;9.0;86;5800;27;33;10295
0;85;honda;gasolina;padrao;quatro;sedan;dianteira;frontal;96.5;175.4;65.2;54.1;2465;ohc;quatro;110;mpfi;3.15;3.58;9.0;101;5800;24;28;12945
1;107;honda;gasolina;padrao;duas;sedan;dianteira;frontal;96.5;169.1;66.0;51.0;2293;ohc;quatro;110;2bbl;3.15;3.58;9.1;100;5500;25;31;10345
0;?;isuzu;gasolina;padrao;quatro;sedan;traseira;frontal;94.3;170.7;61.8;53.5;2337;ohc;quatro;111;2bbl;3.31;3.23;8.5;78;4800;24;29;6785
1;?;isuzu;gasolina;padrao;duas;sedan;dianteira;frontal;94.5;155.9;63.6;52.0;1874;ohc;quatro;90;2bbl;3.03;3.11;9.6;70;5400;38;43;?
0;?;isuzu;gasolina;padrao;quatro;sedan;dianteira;frontal;94.5;155.9;63.6;52.0;1909;ohc;quatro;90;2bbl;3.03;3.11;9.6;70;5400;38;43;?
2;?;isuzu;gasolina;padrao;duas;hatchback;traseira;frontal;96.0;172.6;65.2;51.4;2734;ohc;quatro;119;spfi;3.43;3.23;9.2;90;5000;24;29;11048
0;145;jaguar;gasolina;padrao;quatro;sedan;traseira;frontal;113.0;199.6;69.6;52.8;4066;dohc;seis;258;mpfi;3.63;4.17;8.1;176;4750;15;19;32250
0;?;jaguar;gasolina;padrao;quatro;sedan;traseira;frontal;113.0;199.6;69.6;52.8;4066;dohc;seis;258;mpfi;3.63;4.17;8.1;176;4750;15;19;35550
0;?;jaguar;gasolina;padrao;duas;sedan;traseira;frontal;102.0;191.7;70.6;47.8;3950;ohcv;doze;326;mpfi;3.54;2.76;11.5;262;5000;13;17;36000
1;104;mazda;gasolina;padrao;duas;hatchback;dianteira;frontal;93.1;159.1;64.2;54.1;1890;ohc;quatro;91;2bbl;3.03;3.15;9.0;68;5000;30;31;5195
1;104;mazda;gasolina;padrao;duas;hatchback;dianteira;frontal;93.1;159.1;64.2;54.1;1900;ohc;quatro;91;2bbl;3.03;3.15;9.0;68;5000;31;38;6095
1;104;mazda;gasolina;padrao;duas;hatchback;dianteira;frontal;93.1;159.1;64.2;54.1;1905;ohc;quatro;91;2bbl;3.03;3.15;9.0;68;5000;31;38;6795
1;113;mazda;gasolina;padrao;quatro;sedan;dianteira;frontal;93.1;166.8;64.2;54.1;1945;ohc;quatro;91;2bbl;3.03;3.15;9.0;68;5000;31;38;6695
1;113;mazda;gasolina;padrao;quatro;sedan;dianteira;frontal;93.1;166.8;64.2;54.1;1950;ohc;quatro;91;2bbl;3.08;3.15;9.0;68;5000;31;38;7395
3;150;mazda;gasolina;padrao;duas;hatchback;traseira;frontal;95.3;169.0;65.7;49.6;2380;rotor;dois;70;4bbl;?;?;9.4;101;6000;17;23;10945
3;150;mazda;gasolina;padrao;duas;hatchback;traseira;frontal;95.3;169.0;65.7;49.6;2380;rotor;dois;70;4bbl;?;?;9.4;101;6000;17;23;11845
3;150;mazda;gasolina;padrao;duas;hatchback;traseira;frontal;95.3;169.0;65.7;49.6;2385;rotor;dois;70;4bbl;?;?;9.4;101;6000;17;23;13645
3;150;mazda;gasolina;padrao;duas;hatchback;traseira;frontal;95.3;169.0;65.7;49.6;2500;rotor;dois;80;mpfi;?;?;9.4;135;6000;16;23;15645
1;129;mazda;gasolina;padrao;duas;hatchback;dianteira;frontal;98.8;177.8;66.5;53.7;2385;ohc;quatro;122;2bbl;3.39;3.39;8.6;84;4800;26;32;8845
0;115;mazda;gasolina;padrao;quatro;sedan;dianteira;frontal;98.8;177.8;66.5;55.5;2410;ohc;quatro;122;2bbl;3.39;3.39;8.6;84;4800;26;32;8495
1;129;mazda;gasolina;padrao;duas;hatchback;dianteira;frontal;98.8;177.8;66.5;53.7;2385;ohc;quatro;122;2bbl;3.39;3.39;8.6;84;4800;26;32;10595
0;115;mazda;gasolina;padrao;quatro;sedan;dianteira;frontal;98.8;177.8;66.5;55.5;2410;ohc;quatro;122;2bbl;3.39;3.39;8.6;84;4800;26;32;10245
0;?;mazda;diesel;padrao;?;sedan;dianteira;frontal;98.8;177.8;66.5;55.5;2443;ohc;quatro;122;idi;3.39;3.39;22.7;64;4650;36;42;10795
0;115;mazda;gasolina;padrao;quatro;hatchback;dianteira;frontal;98.8;177.8;66.5;55.5;2425;ohc;quatro;122;2bbl;3.39;3.39;8.6;84;4800;26;32;11245
0;118;mazda;gasolina;padrao;quatro;sedan;traseira;frontal;104.9;175.0;66.1;54.4;2670;ohc;quatro;140;mpfi;3.76;3.16;8.0;120;5000;19;27;18280
0;?;mazda;diesel;padrao;quatro;sedan;traseira;frontal;104.9;175.0;66.1;54.4;2700;ohc;quatro;134;idi;3.43;3.64;22.0;72;4200;31;39;18344
-1;93;mercedes-benz;diesel;turbo;quatro;sedan;traseira;frontal;110.0;190.9;70.3;56.5;3515;ohc;cinco;183;idi;3.58;3.64;21.5;123;4350;22;25;25552
-1;93;mercedes-benz;diesel;turbo;quatro;perua;traseira;frontal;110.0;190.9;70.3;58.7;3750;ohc;cinco;183;idi;3.58;3.64;21.5;123;4350;22;25;28248
0;93;mercedes-benz;diesel;turbo;duas;teto_rigido;traseira;frontal;106.7;187.5;70.3;54.9;3495;ohc;cinco;183;idi;3.58;3.64;21.5;123;4350;22;25;28176
-1;93;mercedes-benz;diesel;turbo;quatro;sedan;traseira;frontal;115.6;202.6;71.7;56.3;3770;ohc;cinco;183;idi;3.58;3.64;21.5;123;4350;22;25;31600
-1;?;mercedes-benz;gasolina;padrao;quatro;sedan;traseira;frontal;115.6;202.6;71.7;56.5;3740;ohcv;oito;234;mpfi;3.46;3.10;8.3;155;4750;16;18;34184
3;142;mercedes-benz;gasolina;padrao;duas;conversivel;traseira;frontal;96.6;180.3;70.5;50.8;3685;ohcv;oito;234;mpfi;3.46;3.10;8.3;155;4750;16;18;35056
0;?;mercedes-benz;gasolina;padrao;quatro;sedan;traseira;frontal;120.9;208.1;71.7;56.7;3900;ohcv;oito;308;mpfi;3.80;3.35;8.0;184;4500;14;16;40960
1;?;mercedes-benz;gasolina;padrao;duas;teto_rigido;traseira;frontal;112.0;199.2;72.0;55.4;3715;ohcv;oito;304;mpfi;3.80;3.35;8.0;184;4500;14;16;45400
1;?;mercury;gasolina;turbo;duas;hatchback;traseira;frontal;102.7;178.4;68.0;54.8;2910;ohc;quatro;140;mpfi;3.78;3.12;8.0;175;5000;19;24;16503
2;161;mitsubishi;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;157.3;64.4;50.8;1918;ohc;quatro;92;2bbl;2.97;3.23;9.4;68;5500;37;41;5389
2;161;mitsubishi;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;157.3;64.4;50.8;1944;ohc;quatro;92;2bbl;2.97;3.23;9.4;68;5500;31;38;6189
2;161;mitsubishi;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;157.3;64.4;50.8;2004;ohc;quatro;92;2bbl;2.97;3.23;9.4;68;5500;31;38;6669
1;161;mitsubishi;gasolina;turbo;duas;hatchback;dianteira;frontal;93.0;157.3;63.8;50.8;2145;ohc;quatro;98;spdi;3.03;3.39;7.6;102;5500;24;30;7689
3;153;mitsubishi;gasolina;turbo;duas;hatchback;dianteira;frontal;96.3;173.0;65.4;49.4;2370;ohc;quatro;110;spdi;3.17;3.46;7.5;116;5500;23;30;9959
3;153;mitsubishi;gasolina;padrao;duas;hatchback;dianteira;frontal;96.3;173.0;65.4;49.4;2328;ohc;quatro;122;2bbl;3.35;3.46;8.5;88;5000;25;32;8499
3;?;mitsubishi;gasolina;turbo;duas;hatchback;dianteira;frontal;95.9;173.2;66.3;50.2;2833;ohc;quatro;156;spdi;3.58;3.86;7.0;145;5000;19;24;12629
3;?;mitsubishi;gasolina;turbo;duas;hatchback;dianteira;frontal;95.9;173.2;66.3;50.2;2921;ohc;quatro;156;spdi;3.59;3.86;7.0;145;5000;19;24;14869
3;?;mitsubishi;gasolina;turbo;duas;hatchback;dianteira;frontal;95.9;173.2;66.3;50.2;2926;ohc;quatro;156;spdi;3.59;3.86;7.0;145;5000;19;24;14489
1;125;mitsubishi;gasolina;padrao;quatro;sedan;dianteira;frontal;96.3;172.4;65.4;51.6;2365;ohc;quatro;122;2bbl;3.35;3.46;8.5;88;5000;25;32;6989
1;125;mitsubishi;gasolina;padrao;quatro;sedan;dianteira;frontal;96.3;172.4;65.4;51.6;2405;ohc;quatro;122;2bbl;3.35;3.46;8.5;88;5000;25;32;8189
1;125;mitsubishi;gasolina;turbo;quatro;sedan;dianteira;frontal;96.3;172.4;65.4;51.6;2403;ohc;quatro;110;spdi;3.17;3.46;7.5;116;5500;23;30;9279
-1;137;mitsubishi;gasolina;padrao;quatro;sedan;dianteira;frontal;96.3;172.4;65.4;51.6;2403;ohc;quatro;110;spdi;3.17;3.46;7.5;116;5500;23;30;9279
1;128;nissan;gasolina;padrao;duas;sedan;dianteira;frontal;94.5;165.3;63.8;54.5;1889;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;5499
1;128;nissan;diesel;padrao;duas;sedan;dianteira;frontal;94.5;165.3;63.8;54.5;2017;ohc;quatro;103;idi;2.99;3.47;21.9;55;4800;45;50;7099
1;128;nissan;gasolina;padrao;duas;sedan;dianteira;frontal;94.5;165.3;63.8;54.5;1918;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;6649
1;122;nissan;gasolina;padrao;quatro;sedan;dianteira;frontal;94.5;165.3;63.8;54.5;1938;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;6849
1;103;nissan;gasolina;padrao;quatro;perua;dianteira;frontal;94.5;170.2;63.8;53.5;2024;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;7349
1;128;nissan;gasolina;padrao;duas;sedan;dianteira;frontal;94.5;165.3;63.8;54.5;1951;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;7299
1;128;nissan;gasolina;padrao;duas;hatchback;dianteira;frontal;94.5;165.6;63.8;53.3;2028;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;7799
1;122;nissan;gasolina;padrao;quatro;sedan;dianteira;frontal;94.5;165.3;63.8;54.5;1971;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;7499
1;103;nissan;gasolina;padrao;quatro;perua;dianteira;frontal;94.5;170.2;63.8;53.5;2037;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;7999
2;168;nissan;gasolina;padrao;duas;teto_rigido;dianteira;frontal;95.1;162.4;63.8;53.3;2008;ohc;quatro;97;2bbl;3.15;3.29;9.4;69;5200;31;37;8249
0;106;nissan;gasolina;padrao;quatro;hatchback;dianteira;frontal;97.2;173.4;65.2;54.7;2324;ohc;quatro;120;2bbl;3.33;3.47;8.5;97;5200;27;34;8949
0;106;nissan;gasolina;padrao;quatro;sedan;dianteira;frontal;97.2;173.4;65.2;54.7;2302;ohc;quatro;120;2bbl;3.33;3.47;8.5;97;5200;27;34;9549
0;128;nissan;gasolina;padrao;quatro;sedan;dianteira;frontal;100.4;181.7;66.5;55.1;3095;ohcv;seis;181;mpfi;3.43;3.27;9.0;152;5200;17;22;13499
0;108;nissan;gasolina;padrao;quatro;perua;dianteira;frontal;100.4;184.6;66.5;56.1;3296;ohcv;seis;181;mpfi;3.43;3.27;9.0;152;5200;17;22;14399
0;108;nissan;gasolina;padrao;quatro;sedan;dianteira;frontal;100.4;184.6;66.5;55.1;3060;ohcv;seis;181;mpfi;3.43;3.27;9.0;152;5200;19;25;13499
3;194;nissan;gasolina;padrao;duas;hatchback;traseira;frontal;91.3;170.7;67.9;49.7;3071;ohcv;seis;181;mpfi;3.43;3.27;9.0;160;5200;19;25;17199
3;194;nissan;gasolina;turbo;duas;hatchback;traseira;frontal;91.3;170.7;67.9;49.7;3139;ohcv;seis;181;mpfi;3.43;3.27;7.8;200;5200;17;23;19699
1;231;nissan;gasolina;padrao;duas;hatchback;traseira;frontal;99.2;178.5;67.9;49.7;3139;ohcv;seis;181;mpfi;3.43;3.27;9.0;160;5200;19;25;18399
0;161;peugot;gasolina;padrao;quatro;sedan;traseira;frontal;107.9;186.7;68.4;56.7;3020;l;quatro;120;mpfi;3.46;3.19;8.4;97;5000;19;24;11900
0;161;peugot;diesel;turbo;quatro;sedan;traseira;frontal;107.9;186.7;68.4;56.7;3197;l;quatro;152;idi;3.70;3.52;21.0;95;4150;28;33;13200
0;?;peugot;gasolina;padrao;quatro;perua;traseira;frontal;114.2;198.9;68.4;58.7;3230;l;quatro;120;mpfi;3.46;3.19;8.4;97;5000;19;24;12440
0;?;peugot;diesel;turbo;quatro;perua;traseira;frontal;114.2;198.9;68.4;58.7;3430;l;quatro;152;idi;3.70;3.52;21.0;95;4150;25;25;13860
0;161;peugot;gasolina;padrao;quatro;sedan;traseira;frontal;107.9;186.7;68.4;56.7;3075;l;quatro;120;mpfi;3.46;2.19;8.4;95;5000;19;24;15580
0;161;peugot;diesel;turbo;quatro;sedan;traseira;frontal;107.9;186.7;68.4;56.7;3252;l;quatro;152;idi;3.70;3.52;21.0;95;4150;28;33;16900
0;?;peugot;gasolina;padrao;quatro;perua;traseira;frontal;114.2;198.9;68.4;56.7;3285;l;quatro;120;mpfi;3.46;2.19;8.4;95;5000;19;24;16695
0;?;peugot;diesel;turbo;quatro;perua;traseira;frontal;114.2;198.9;68.4;58.7;3485;l;quatro;152;idi;3.70;3.52;21.0;95;4150;25;25;17075
0;161;peugot;gasolina;padrao;quatro;sedan;traseira;frontal;107.9;186.7;68.4;56.7;3075;l;quatro;120;mpfi;3.46;3.19;8.4;97;5000;19;24;16630
0;161;peugot;diesel;turbo;quatro;sedan;traseira;frontal;107.9;186.7;68.4;56.7;3252;l;quatro;152;idi;3.70;3.52;21.0;95;4150;28;33;17950
0;161;peugot;gasolina;turbo;quatro;sedan;traseira;frontal;108.0;186.7;68.3;56.0;3130;l;quatro;134;mpfi;3.61;3.21;7.0;142;5600;18;24;18150
1;119;plymouth;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;157.3;63.8;50.8;1918;ohc;quatro;90;2bbl;2.97;3.23;9.4;68;5500;37;41;5572
1;119;plymouth;gasolina;turbo;duas;hatchback;dianteira;frontal;93.7;157.3;63.8;50.8;2128;ohc;quatro;98;spdi;3.03;3.39;7.6;102;5500;24;30;7957
1;154;plymouth;gasolina;padrao;quatro;hatchback;dianteira;frontal;93.7;157.3;63.8;50.6;1967;ohc;quatro;90;2bbl;2.97;3.23;9.4;68;5500;31;38;6229
1;154;plymouth;gasolina;padrao;quatro;sedan;dianteira;frontal;93.7;167.3;63.8;50.8;1989;ohc;quatro;90;2bbl;2.97;3.23;9.4;68;5500;31;38;6692
1;154;plymouth;gasolina;padrao;quatro;sedan;dianteira;frontal;93.7;167.3;63.8;50.8;2191;ohc;quatro;98;2bbl;2.97;3.23;9.4;68;5500;31;38;7609
-1;74;plymouth;gasolina;padrao;quatro;perua;dianteira;frontal;103.3;174.6;64.6;59.8;2535;ohc;quatro;122;2bbl;3.35;3.46;8.5;88;5000;24;30;8921
3;?;plymouth;gasolina;turbo;duas;hatchback;traseira;frontal;95.9;173.2;66.3;50.2;2818;ohc;quatro;156;spdi;3.59;3.86;7.0;145;5000;19;24;12764
3;186;porsche;gasolina;padrao;duas;hatchback;traseira;frontal;94.5;168.9;68.3;50.2;2778;ohc;quatro;151;mpfi;3.94;3.11;9.5;143;5500;19;27;22018
3;?;porsche;gasolina;padrao;duas;teto_rigido;traseira;traseira;89.5;168.9;65.0;51.6;2756;ohcf;seis;194;mpfi;3.74;2.90;9.5;207;5900;17;25;32528
3;?;porsche;gasolina;padrao;duas;teto_rigido;traseira;traseira;89.5;168.9;65.0;51.6;2756;ohcf;seis;194;mpfi;3.74;2.90;9.5;207;5900;17;25;34028
3;?;porsche;gasolina;padrao;duas;conversivel;traseira;traseira;89.5;168.9;65.0;51.6;2800;ohcf;seis;194;mpfi;3.74;2.90;9.5;207;5900;17;25;37028
1;?;porsche;gasolina;padrao;duas;hatchback;traseira;frontal;98.4;175.7;72.3;50.5;3366;dohcv;oito;203;mpfi;3.94;3.11;10.0;288;5750;17;28;?
0;?;renault;gasolina;padrao;quatro;perua;dianteira;frontal;96.1;181.5;66.5;55.2;2579;ohc;quatro;132;mpfi;3.46;3.90;8.7;?;?;23;31;9295
2;?;renault;gasolina;padrao;duas;hatchback;dianteira;frontal;96.1;176.8;66.6;50.5;2460;ohc;quatro;132;mpfi;3.46;3.90;8.7;?;?;23;31;9895
3;150;saab;gasolina;padrao;duas;hatchback;dianteira;frontal;99.1;186.6;66.5;56.1;2658;ohc;quatro;121;mpfi;3.54;3.07;9.31;110;5250;21;28;11850
2;104;saab;gasolina;padrao;quatro;sedan;dianteira;frontal;99.1;186.6;66.5;56.1;2695;ohc;quatro;121;mpfi;3.54;3.07;9.3;110;5250;21;28;12170
3;150;saab;gasolina;padrao;duas;hatchback;dianteira;frontal;99.1;186.6;66.5;56.1;2707;ohc;quatro;121;mpfi;2.54;2.07;9.3;110;5250;21;28;15040
2;104;saab;gasolina;padrao;quatro;sedan;dianteira;frontal;99.1;186.6;66.5;56.1;2758;ohc;quatro;121;mpfi;3.54;3.07;9.3;110;5250;21;28;15510
3;150;saab;gasolina;turbo;duas;hatchback;dianteira;frontal;99.1;186.6;66.5;56.1;2808;dohc;quatro;121;mpfi;3.54;3.07;9.0;160;5500;19;26;18150
2;104;saab;gasolina;turbo;quatro;sedan;dianteira;frontal;99.1;186.6;66.5;56.1;2847;dohc;quatro;121;mpfi;3.54;3.07;9.0;160;5500;19;26;18620
2;83;subaru;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;156.9;63.4;53.7;2050;ohcf;quatro;97;2bbl;3.62;2.36;9.0;69;4900;31;36;5118
2;83;subaru;gasolina;padrao;duas;hatchback;dianteira;frontal;93.7;157.9;63.6;53.7;2120;ohcf;quatro;108;2bbl;3.62;2.64;8.7;73;4400;26;31;7053
2;83;subaru;gasolina;padrao;duas;hatchback;quatro_rodas;frontal;93.3;157.3;63.8;55.7;2240;ohcf;quatro;108;2bbl;3.62;2.64;8.7;73;4400;26;31;7603
0;102;subaru;gasolina;padrao;quatro;sedan;dianteira;frontal;97.2;172.0;65.4;52.5;2145;ohcf;quatro;108;2bbl;3.62;2.64;9.5;82;4800;32;37;7126
0;102;subaru;gasolina;padrao;quatro;sedan;dianteira;frontal;97.2;172.0;65.4;52.5;2190;ohcf;quatro;108;2bbl;3.62;2.64;9.5;82;4400;28;33;7775
0;102;subaru;gasolina;padrao;quatro;sedan;dianteira;frontal;97.2;172.0;65.4;52.5;2340;ohcf;quatro;108;mpfi;3.62;2.64;9.0;94;5200;26;32;9960
0;102;subaru;gasolina;padrao;quatro;sedan;quatro_rodas;frontal;97.0;172.0;65.4;54.3;2385;ohcf;quatro;108;2bbl;3.62;2.64;9.0;82;4800;24;25;9233
0;102;subaru;gasolina;turbo;quatro;sedan;quatro_rodas;frontal;97.0;172.0;65.4;54.3;2510;ohcf;quatro;108;mpfi;3.62;2.64;7.7;111;4800;24;29;11259
0;89;subaru;gasolina;padrao;quatro;perua;dianteira;frontal;97.0;173.5;65.4;53.0;2290;ohcf;quatro;108;2bbl;3.62;2.64;9.0;82;4800;28;32;7463
0;89;subaru;gasolina;padrao;quatro;perua;dianteira;frontal;97.0;173.5;65.4;53.0;2455;ohcf;quatro;108;mpfi;3.62;2.64;9.0;94;5200;25;31;10198
0;85;subaru;gasolina;padrao;quatro;perua;quatro_rodas;frontal;96.9;173.6;65.4;54.9;2420;ohcf;quatro;108;2bbl;3.62;2.64;9.0;82;4800;23;29;8013
0;85;subaru;gasolina;turbo;quatro;perua;quatro_rodas;frontal;96.9;173.6;65.4;54.9;2650;ohcf;quatro;108;mpfi;3.62;2.64;7.7;111;4800;23;23;11694
